Processor;Model;Cores 1;Cores 2;Threads;Integrated graphics;CodeName
i5-7440HQ;4;0;4;HD 630;Kaby Lake;
i5-7300HQ;4;0;4;HD 630;Kaby Lake;
i5-7360U;2;0;4;Iris Plus 640;Kaby Lake;
i5-7300U;2;0;4;HD 620;Kaby Lake;
i5-7287U;2;0;4;Iris Plus 650;Kaby Lake;
i5-7267U;2;0;4;Iris Plus 650;Kaby Lake;
i5-7260U;2;0;4;Iris Plus 640;Kaby Lake;
i5-7200U;2;0;4;HD 620;Kaby Lake;
i5-7Y57;2;0;4;HD 615;Kaby Lake;
i5-7Y54;2;0;4;HD 615;Kaby Lake;
i3-7100H;2;0;4;HD 630;Kaby Lake;
i3-7167U;2;0;4;Iris Plus 650;Kaby Lake;
i3-7130U;2;0;4;HD 620;Kaby Lake;
i3-7100U;2;0;4;HD 620;Kaby Lake;
m3-7Y32;2;0;4;HD 615;Kaby Lake;
m3-7Y30;2;0;4;HD 615;Kaby Lake;
N4200;4;0;4;HD 505;Apollo Lake;
4415U;2;0;4;HD 610;Kaby Lake;
4415Y;2;0;4;HD 615;Kaby Lake;
4410Y;2;0;4;HD 615;Kaby Lake;
N3450;4;0;4;HD 500;Apollo Lake;
N3350;2;0;2;HD 500;Apollo Lake;
3965U;2;0;2;HD 610;Kaby Lake;
3865U;2;0;2;HD 610;Kaby Lake;
